,gs2046,gs2081
164,22.2657042957,34.03999001
165,22.2236763237,33.6093906094
166,23.1507492507,34.6193206793
167,23.0152947053,34.4095804196
168,22.7979320679,34.2350749251
169,22.7457242757,34.2557242757
170,23.2931568432,34.6445854146
171,22.0328971029,33.5657542458
172,22.4270929071,34.01995005
173,22.5282117882,33.8696403596
174,22.4866733267,33.9023876124
175,23.5979020979,35.045044955
176,22.9153046953,34.2253046953
177,23.4886313686,34.8414885115
178,23.0957442557,34.3243156843
179,22.8996103896,34.411038961
180,23.5423176823,35.008031968
181,23.1264935065,34.4036363636
182,22.8652147852,34.5052147852
183,22.7073026973,34.3858741259
184,23.3138261738,34.7781118881
185,23.6354345654,35.1725774226
186,23.7422877123,35.0894305694
187,23.640989011,34.8267032967
188,22.8468031968,34.3753746254
189,23.7906893107,35.3378321678
190,23.7572427572,34.9915284715
191,22.8631168831,34.1488311688
192,23.5998901099,34.927032967
193,23.8043956044,35.3501098901
194,21.799030969,32.9233166833
195,22.782967033,33.9643956044
196,23.9784415584,35.2498701299
197,23.8043956044,35.3501098901
198,23.0433266733,34.7233266733
199,23.0433266733,34.7233266733
200,23.2564235764,34.704995005
201,23.6912287712,34.9926573427
202,22.7398301698,34.3426873127
203,23.8851348651,35.4622777223
204,23.8310589411,35.5567732268
205,23.0433266733,34.7233266733
206,20.8316283716,31.6630569431
207,21.2710689311,32.3624975025
208,23.6427072927,35.1227072927
209,24.2219480519,35.2976623377
210,21.8557942058,32.8157942058
211,23.8203996004,34.9246853147
212,23.1220879121,34.7849450549
213,22.6555344655,34.3341058941
214,24.0051548452,35.1122977023
215,23.0433266733,34.7233266733
216,22.3851648352,34.0508791209
217,21.4472627373,32.7586913087
218,22.1337762238,33.8394905095
219,23.4914985015,34.6772127872
220,22.7407592408,34.2336163836
221,23.3166233766,34.6823376623
222,21.2710689311,32.3624975025
223,23.4837062937,34.7808491508
224,23.5984215784,34.866993007
225,24.1038861139,35.3667432567
226,20.9730769231,31.7616483516
227,23.7943056943,35.0128771229
228,22.6864735265,34.2336163836
229,22.9048351648,34.621978022
230,23.2486213786,34.7571928072
231,23.7922877123,35.0251448551
232,21.9101298701,33.5172727273
233,22.2911288711,33.9625574426
234,24.4967132867,35.660999001
235,21.5258341658,32.7358341658
236,22.035954046,33.9073826174
237,22.128991009,33.9018481518
238,23.4914985015,34.6772127872
239,23.6705094905,34.7605094905
240,22.6396503497,34.1767932068
241,21.1622577423,32.0894005994
242,22.712957043,34.4272427572
243,24.1937862138,35.5180719281
244,24.1625874126,35.3383016983
245,21.0966133866,31.7837562438
246,23.4914985015,34.6772127872
247,21.6325174825,32.0339460539
248,21.4907592408,32.2536163836
249,23.9005194805,35.2233766234
250,22.3727472527,33.9141758242
251,23.3422777223,34.6051348651
252,22.3408891109,34.1751748252
253,22.7061838162,33.9704695305
254,22.1054145854,33.1925574426
255,24.7045254745,36.115954046
256,22.6609190809,33.8194905095
257,21.3323976024,31.790969031
258,24.3814985015,35.5643556444
259,24.032027972,35.4291708292
260,23.0471628372,34.27001998
261,23.9559140859,35.1544855145
262,24.6809490509,35.8252347652
263,22.6864735265,34.2336163836
264,23.3376023976,34.4133166833
265,22.6864735265,34.2336163836
266,22.5857442557,33.61002997
267,22.8011588412,33.8397302697
268,21.3701498501,32.913006993
269,21.3525074925,32.7210789211
270,21.9718781219,33.3318781219
271,24.1708291708,35.5194005994
272,22.6446453546,34.1432167832
273,22.8059140859,34.2787712288
274,22.9649150849,34.0963436563
275,21.7434165834,33.231988012
276,20.6009490509,31.8009490509
277,22.1375924076,33.4747352647
278,22.9574525475,34.1988811189
279,22.3587512488,33.383036963
280,22.8330569431,34.3359140859
281,22.2632367632,33.738951049
282,22.8330569431,34.3359140859
283,21.6286713287,32.4972427572
284,21.1814285714,32.6628571429
285,22.8491808192,33.9948951049
286,22.9530769231,34.6187912088
287,20.4753746254,31.7053746254
288,22.062997003,33.2787112887
289,21.6668831169,32.5625974026
290,21.4516683317,32.7173826174
291,21.6952247752,33.3866533467
292,22.4683716284,33.5540859141
293,21.8941058941,32.7983916084
294,24.2797502498,35.9911788212
295,22.1404595405,33.2233166833
296,22.0982117882,33.1510689311
297,22.1033866134,33.0605294705
298,23.2348451548,34.3677022977
299,22.5302397602,33.9402397602
300,24.2035164835,35.8620879121
301,23.7753746254,35.0453746254
302,22.8575524476,34.3175524476
303,21.2754045954,32.7254045954
304,23.2185214785,35.2013786214
305,20.4753746254,31.7053746254
306,20.9942557443,32.2942557443
307,20.328011988,31.7422977023
308,22.0853946054,33.2011088911
309,21.2148151848,31.9876723277
310,22.3721178821,33.2521178821
311,21.3611188811,32.7296903097
312,21.2983116883,32.0968831169
313,22.637952048,33.9550949051
314,23.1723576424,34.3609290709
315,21.2224475524,32.0067332667
316,24.337952048,35.9650949051
317,21.4443956044,32.1172527473
318,22.5826073926,33.8068931069
319,20.2300799201,31.0457942058
320,21.9617182817,33.3074325674
321,22.9791208791,34.9934065934
322,20.7706693307,31.6006693307
323,24.2035164835,35.8620879121
324,21.6048151848,32.7433866134
325,22.3721478521,33.3307192807
326,21.8065234765,33.0450949051
327,24.2085014985,36.1056443556
328,24.2388611389,36.266003996
329,22.4021478521,33.3307192807
330,22.3721478521,33.3307192807
331,22.3721478521,33.3307192807
332,23.2614785215,34.5371928072
